upstream_part,up_part_rev,downstream_part,down_part_rev,upstream_output_port,downstream_input_port,start_date,stop_date
FEA93,A,C7F93,A,n,na,2014-10-01 07:00:00+00:00,
FEA94,A,C7F94,A,e,ea,2014-10-01 07:00:00+00:00,
FEA94,A,C7F94,A,n,na,2014-10-01 07:00:00+00:00,
FEA95,A,C7F95,A,e,ea,2014-10-01 07:00:00+00:00,
FEA95,A,C7F95,A,n,na,2014-10-01 07:00:00+00:00,
FEA96,A,C7F96,A,e,ea,2014-10-01 07:00:00+00:00,
FEA96,A,C7F96,A,n,na,2014-10-01 07:00:00+00:00,
FEA97,A,C7F97,A,e,ea,2014-10-01 07:00:00+00:00,
FEA97,A,C7F97,A,n,na,2014-10-01 07:00:00+00:00,
FEA98,A,C7F98,A,e,ea,2014-10-01 07:00:00+00:00,
FEA98,A,C7F98,A,n,na,2014-10-01 07:00:00+00:00,
FEA99,A,C7F99,A,e,ea,2014-10-01 07:00:00+00:00,
FEA99,A,C7F99,A,n,na,2014-10-01 07:00:00+00:00,
FEA9,A,C7F9,A,e,ea,2014-10-01 07:00:00+00:00,
FEA9,A,C7F9,A,n,na,2014-10-01 07:00:00+00:00,
HH0,A,A80,A,ground,ground,2014-10-01 07:00:00+00:00,
HH11,A,A64,A,ground,ground,2014-10-01 07:00:00+00:00,
HH12,A,A53,A,ground,ground,2014-10-01 07:00:00+00:00,
HH13,A,A31,A,ground,ground,2014-10-01 07:00:00+00:00,
HH14,A,A65,A,ground,ground,2014-10-01 07:00:00+00:00,
HH1,A,A104,A,ground,ground,2014-10-01 07:00:00+00:00,
HH23,A,A88,A,ground,ground,2014-10-01 07:00:00+00:00,
HH24,A,A9,A,ground,ground,2014-10-01 07:00:00+00:00,
HH25,A,A20,A,ground,ground,2014-10-01 07:00:00+00:00,
HH26,A,A89,A,ground,ground,2014-10-01 07:00:00+00:00,
HH27,A,A43,A,ground,ground,2014-10-01 07:00:00+00:00,
HH2,A,A96,A,ground,ground,2014-10-01 07:00:00+00:00,
HH37,A,A105,A,ground,ground,2014-10-01 07:00:00+00:00,
HH38,A,A22,A,ground,ground,2014-10-01 07:00:00+00:00,
HH39,A,A81,A,ground,ground,2014-10-01 07:00:00+00:00,
HH40,A,A10,A,ground,ground,2014-10-01 07:00:00+00:00,
HH52,A,A72,A,ground,ground,2014-10-01 07:00:00+00:00,
HH53,A,A112,A,ground,ground,2014-10-01 07:00:00+00:00,
HH54,A,A97,A,ground,ground,2014-10-01 07:00:00+00:00,
PH00,A,A44,A,ground,ground,2014-10-01 07:00:00+00:00,
PH01,A,A14,A,ground,ground,2014-10-01 07:00:00+00:00,
PH02,A,A86,A,ground,ground,2014-10-01 07:00:00+00:00,
PH11,A,A69,A,ground,ground,2014-10-01 07:00:00+00:00,
PH12,A,A40,A,ground,ground,2014-10-01 07:00:00+00:00,
PH13,A,A101,A,ground,ground,2014-10-01 07:00:00+00:00,
PH14,A,A102,A,ground,ground,2014-10-01 07:00:00+00:00,
PH23,A,A125,A,ground,ground,2014-10-01 07:00:00+00:00,
PH24,A,A84,A,ground,ground,2014-10-01 07:00:00+00:00,
PH25,A,A100,A,ground,ground,2014-10-01 07:00:00+00:00,
PH26,A,A85,A,ground,ground,2014-10-01 07:00:00+00:00,
PH27,A,A54,A,ground,ground,2014-10-01 07:00:00+00:00,
PH37,A,A17,A,ground,ground,2014-10-01 07:00:00+00:00,
PH38,A,A68,A,ground,ground,2014-10-01 07:00:00+00:00,
PH39,A,A62,A,ground,ground,2014-10-01 07:00:00+00:00,
PH40,A,A0,A,ground,ground,2014-10-01 07:00:00+00:00,
PH52,A,A2,A,ground,ground,2014-10-01 07:00:00+00:00,
PH53,A,A21,A,ground,ground,2014-10-01 07:00:00+00:00,
PH54,A,A45,A,ground,ground,2014-10-01 07:00:00+00:00,
PI10,A,A70,A,ground,ground,2014-10-01 07:00:00+00:00,
PI11,A,A56,A,ground,ground,2014-10-01 07:00:00+00:00,
PI12,A,A71,A,ground,ground,2014-10-01 07:00:00+00:00,
PI13,A,A59,A,ground,ground,2014-10-01 07:00:00+00:00,
PI14,A,A23,A,ground,ground,2014-10-01 07:00:00+00:00,
PI15,A,A50,A,ground,ground,2014-10-01 07:00:00+00:00,
PI16,A,A38,A,ground,ground,2014-10-01 07:00:00+00:00,
PI17,A,A26,A,ground,ground,2014-10-01 07:00:00+00:00,
PI18,A,A87,A,ground,ground,2014-10-01 07:00:00+00:00,
PI19,A,A103,A,ground,ground,2014-10-01 07:00:00+00:00,
PI1,A,A61,A,ground,ground,2014-10-01 07:00:00+00:00,
PI20,A,A42,A,ground,ground,2014-10-01 07:00:00+00:00,
PI21,A,A15,A,ground,ground,2014-10-01 07:00:00+00:00,
